ADR_EGAID;STR_ESID;BDG_EGID;ADR_EDID;STN_LABEL;ADR_NUMBER;BDG_CATEGORY;BDG_NAME;ZIP_LABEL;COM_FOSNR;COM_CANTON;ADR_STATUS;ADR_OFFICIAL;ADR_VALID;ADR_MODIFIED;ADR_EASTING;ADR_NORTHING
101381168;10177200;245000165;0;Moosackerweg;5a;non_residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.591816904;47.45746264
100340537;10120609;410371;0;Im Gwidem;6;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.588193821;47.46121787
101109734;10179159;3029617;0;Burgweg;2;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.593777629;47.45679448
101377668;10140408;245000079;0;Schlossgut;141a;special;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.594697557;47.45393314
101076081;10107056;3029051;0;Muggenbergweg;22;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.596195398;47.45823927
101381159;10103052;245000156;0;Mattenweg;19a;non_residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.592045464;47.45855062
102190310;10051583;410299;0;Keltenweg;1;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.593534028;47.45968189
100339597;10057781;410523;0;Eichenweg;15;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.585905385;47.45854956
101377659;10051582;245000070;0;Hauptstrasse;65b;non_residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.590439501;47.45808503
101557268;10024288;245053104;0;Alter Kirchweg;23;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.590145696;47.46204279
101151344;10024292;2351786;0;Bnenmattweg;25;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.580748636;47.45929348
100332728;10051582;410177;0;Hauptstrasse;84;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.589854045;47.45739325
101379318;10087183;245000112;0;Im Noll;32;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.58609682;47.46064492
101381172;10177200;245000171;0;Moosackerweg;17a;special;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.593659479;47.45720836
101151187;10103052;2351752;0;Mattenweg;3;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.590825948;47.45874109
100341191;10087186;410592;0;Vogtackerweg;10;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.588222167;47.45712554
101558783;10103052;245052660;0;Mattenweg;39;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.595333409;47.45824044
100332805;10024299;410256;0;Nespelmattweg;10;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.595964682;47.46095578
101383121;10087180;245000321;0;Brunnmattweg;24a;non_residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.5879974;47.46211752
101076083;10107056;3029053;0;Muggenbergweg;26;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.595996557;47.45826652
100341159;10063992;410559;0;Im Jrtli;15;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.583186033;47.45827415
100341044;10024290;410452;0;Bergmattenweg;4;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.583016716;47.4594166
101557265;10024288;245053101;0;Alter Kirchweg;17;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.590516862;47.46197935
100338948;10051583;410309;0;Keltenweg;10;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.5935463;47.4593401
101377665;10154578;245000076;0;Obere Rebmatt;149;non_residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.587034398;47.45441086
100338924;10024300;410284;0;R?merstrasse;14;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.595989195;47.4602722
100341042;10024290;410450;0;Bergmattenweg;3;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.584251349;47.45989175
101383092;10024301;245000285;0;Steingrubenweg;14a;special;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;26.01.2021;7.594622303;47.45995925
101379302;10120609;245000096;0;Im Gwidem;31a;non_residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;26.01.2021;7.586869602;47.46193908
100339129;10051582;410097;0;Hauptstrasse;6;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.593697157;47.46105776
101383112;10024290;245000312;0;Bergmattenweg;5a;non_residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.58401227;47.45975714
101152724;10107056;2351807;0;Muggenbergweg;10;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.596795218;47.45927277
